uid,question_id,correct,topic,difficulty,S_before,response_time_sec,rolling_accuracy,attempts,preference_match,resource_format,preferences,S_after,emp_diff,time_weight
syn_000,POW-06,0,potencias,Medium,"{'a': 0.6389658738579881, 't': 0.37142429766243334, 'f': 0.22558413567262953, 'd': 0.8595426749159415}",64,0.5,0,0,text,['examples'],"{'a': 0.4473, 't': 0.428, 'f': 0.2756, 'd': 0.5792}",0.5166666666666666,0.0027394448187683684
syn_000,POT-P93,0,potencias,Easy,"{'a': 0.4473, 't': 0.428, 'f': 0.2756, 'd': 0.5792}",62,0.0,1,0,interactive,['examples'],"{'a': 0.3131, 't': 0.4736, 'f': 0.3256, 'd': 0.5213}",0.30333333333333334,0.0030275547453758127
syn_000,INE-02,1,inecuaciones,Easy,"{'a': 0.3131, 't': 0.4736, 'f': 0.3256, 'd': 0.5213}",76,0.0,2,0,interactive,['examples'],"{'a': 0.5192, 't': 0.4635, 'f': 0.3756, 'd': 0.6223}",0.2533333333333333,0.003345965457471272
syn_000,ECU-P45,1,ecuaciones,Medium,"{'a': 0.5192, 't': 0.4635, 'f': 0.3756, 'd': 0.6223}",99,0.3333333333333333,3,0,interactive,['examples'],"{'a': 0.6634, 't': 0.3875, 'f': 0.4256, 'd': 0.6792}",0.42333333333333334,0.003697863716482929
syn_000,FRA-P45,1,fracciones,Medium,"{'a': 0.6634, 't': 0.3875, 'f': 0.4256, 'd': 0.6792}",90,0.5,4,0,text,['examples'],"{'a': 0.7644, 't': 0.3613, 'f': 0.4756, 'd': 0.7244}",0.3933333333333333,0.004086771438464067
syn_000,FAC-P22,0,factorizacion,Hard,"{'a': 0.7644, 't': 0.3613, 'f': 0.4756, 'd': 0.7244}",71,0.6,5,0,text,['examples'],"{'a': 0.5351, 't': 0.3999, 'f': 0.5256, 'd': 0.6175}",0.6933333333333334,0.004516580942612666
syn_000,POW-02,1,potencias,Easy,"{'a': 0.5351, 't': 0.3999, 'f': 0.5256, 'd': 0.6175}",55,0.6,6,0,interactive,['examples'],"{'a': 0.6746, 't': 0.4749, 'f': 0.5756, 'd': 0.7023}",0.33999999999999997,0.004991593906910213
syn_000,ECU-P12,0,ecuaciones,Hard,"{'a': 0.6746, 't': 0.4749, 'f': 0.5756, 'd': 0.7023}",104,0.8,7,0,text,['examples'],"{'a': 0.4722, 't': 0.3804, 'f': 0.6256, 'd': 0.5822}",0.77,0.0055165644207607716
syn_000,POW-01,1,potencias,Easy,"{'a': 0.4722, 't': 0.3804, 'f': 0.6256, 'd': 0.5822}",51,0.6,8,0,interactive,['examples'],"{'a': 0.6305, 't': 0.4733, 'f': 0.6756, 'd': 0.6799}",0.3466666666666667,0.006096746565515633
syn_000,INE-03,1,inecuaciones,Easy,"{'a': 0.6305, 't': 0.4733, 'f': 0.6756, 'd': 0.6799}",55,0.6,9,0,interactive,['examples'],"{'a': 0.7413, 't': 0.5263, 'f': 0.7256, 'd': 0.7459}",0.33999999999999997,0.006737946999085467
syn_000,POL-C33,1,polinomios,Medium,"{'a': 0.7413, 't': 0.5263, 'f': 0.7256, 'd': 0.7459}",81,0.6,10,0,text,['examples'],"{'a': 0.8189, 't': 0.4854, 'f': 0.7756, 'd': 0.7765}",0.44999999999999996,0.007446583070924338
syn_000,FRA-05,0,fracciones,Hard,"{'a': 0.8189, 't': 0.4854, 'f': 0.7756, 'd': 0.7765}",94,0.8,11,0,text,['examples'],"{'a': 0.5732, 't': 0.4178, 'f': 0.8256, 'd': 0.6402}",0.7033333333333334,0.008229747049020023
syn_000,POL-P83,0,polinomios,Medium,"{'a': 0.5732, 't': 0.4178, 'f': 0.8256, 'd': 0.6402}",74,0.6,12,0,interactive,['examples'],"{'a': 0.4012, 't': 0.4305, 'f': 0.8756, 'd': 0.5567}",0.5800000000000001,0.009095277101695816
syn_000,SYS-07,0,sistemas,Hard,"{'a': 0.4012, 't': 0.4305, 'f': 0.8756, 'd': 0.5567}",141,0.6,13,0,interactive,['examples'],"{'a': 0.2808, 't': 0.3013, 'f': 0.9256, 'd': 0.4707}",0.7566666666666666,0.010051835744633576
syn_000,FAC-05,0,factorizacion,Medium,"{'a': 0.2808, 't': 0.3013, 'f': 0.9256, 'd': 0.4707}",99,0.4,14,0,interactive,['examples'],"{'a': 0.1966, 't': 0.2739, 'f': 0.9756, 'd': 0.4231}",0.6866666666666666,0.011108996538242306
syn_000,FAC-P53,0,factorizacion,Easy,"{'a': 0.1966, 't': 0.2739, 'f': 0.9756, 'd': 0.4231}",83,0.2,15,0,interactive,['examples'],"{'a': 0.1376, 't': 0.3027, 'f': 1.0, 'd': 0.3994}",0.5,0.012277339903068436
syn_000,FUN-P57,0,funciones,Hard,"{'a': 0.1376, 't': 0.3027, 'f': 1.0, 'd': 0.3994}",166,0.0,16,0,text,['examples'],"{'a': 0.0963, 't': 0.2119, 'f': 1.0, 'd': 0.3605}",0.7733333333333333,0.013568559012200934
syn_000,INE-P15,0,inecuaciones,Hard,"{'a': 0.0963, 't': 0.2119, 'f': 1.0, 'd': 0.3605}",146,0.0,17,0,text,['examples'],"{'a': 0.0674, 't': 0.1483, 'f': 1.0, 'd': 0.3334}",0.8366666666666667,0.014995576820477703
syn_000,FRA-C51,0,fracciones,Medium,"{'a': 0.0674, 't': 0.1483, 'f': 1.0, 'd': 0.3334}",103,0.0,18,0,text,['examples'],"{'a': 0.0472, 't': 0.1548, 'f': 1.0, 'd': 0.3246}",0.7233333333333334,0.016572675401761237
syn_000,POL-P67,0,polinomios,Medium,"{'a': 0.0472, 't': 0.1548, 'f': 1.0, 'd': 0.3246}",112,0.0,19,0,interactive,['examples'],"{'a': 0.033, 't': 0.1324, 'f': 1.0, 'd': 0.313}",0.7866666666666666,0.01831563888873418
syn_000,SIS-P18,0,sistemas,Medium,"{'a': 0.033, 't': 0.1324, 'f': 1.0, 'd': 0.313}",148,0.0,20,0,interactive,['examples'],"{'a': 0.0231, 't': 0.0927, 'f': 1.0, 'd': 0.3001}",0.78,0.02024191144580438
syn_000,POL-C64,0,polinomios,Medium,"{'a': 0.0231, 't': 0.0927, 'f': 1.0, 'd': 0.3001}",122,0.0,21,0,text,['examples'],"{'a': 0.0162, 't': 0.0649, 'f': 1.0, 'd': 0.2911}",0.77,0.02237077185616559
syn_000,POL-P32,0,polinomios,Hard,"{'a': 0.0162, 't': 0.0649, 'f': 1.0, 'd': 0.2911}",180,0.0,22,0,interactive,['examples'],"{'a': 0.0113, 't': 0.0454, 'f': 1.0, 'd': 0.2848}",0.8666666666666667,0.024723526470339388
syn_000,POL-P56,0,polinomios,Easy,"{'a': 0.0113, 't': 0.0454, 'f': 1.0, 'd': 0.2848}",95,0.0,23,0,text,['examples'],"{'a': 0.0079, 't': 0.1068, 'f': 1.0, 'd': 0.2953}",0.6366666666666667,0.02732372244729256
syn_000,FAC-P57,0,factorizacion,Easy,"{'a': 0.0079, 't': 0.1068, 'f': 1.0, 'd': 0.2953}",85,0.0,24,0,interactive,['examples'],"{'a': 0.0055, 't': 0.1798, 'f': 1.0, 'd': 0.3087}",0.6066666666666667,0.0301973834223185
syn_000,INE-68,0,inecuaciones,Hard,"{'a': 0.0055, 't': 0.1798, 'f': 1.0, 'd': 0.3087}",180,0.0,25,0,text,['examples'],"{'a': 0.0038, 't': 0.1259, 'f': 1.0, 'd': 0.2971}",0.8133333333333334,0.033373269960326066
syn_000,FRA-C85,0,fracciones,Medium,"{'a': 0.0038, 't': 0.1259, 'f': 1.0, 'd': 0.2971}",111,0.0,26,0,text,['examples'],"{'a': 0.0027, 't': 0.1151, 'f': 1.0, 'd': 0.2944}",0.7766666666666666,0.036883167401239994
syn_000,ECU-P94,0,ecuaciones,Hard,"{'a': 0.0027, 't': 0.1151, 'f': 1.0, 'd': 0.2944}",168,0.0,27,0,text,['examples'],"{'a': 0.0019, 't': 0.0806, 'f': 1.0, 'd': 0.2871}",0.8466666666666667,0.04076220397836621
syn_000,FUN-P66,1,funciones,Medium,"{'a': 0.0019, 't': 0.0806, 'f': 1.0, 'd': 0.2871}",120,0.0,28,0,interactive,['examples'],"{'a': 0.3013, 't': 0.0564, 'f': 1.0, 'd': 0.4319}",0.79,0.0450492023935578
syn_000,POW-05,1,potencias,Medium,"{'a': 0.3013, 't': 0.0564, 'f': 1.0, 'd': 0.4319}",112,0.2,29,0,text,['examples'],"{'a': 0.5109, 't': 0.0635, 'f': 1.0, 'd': 0.5382}",0.77,0.049787068367863944
syn_000,FUN-P55,1,funciones,Easy,"{'a': 0.5109, 't': 0.0635, 'f': 1.0, 'd': 0.5382}",61,0.4,30,0,interactive,['examples'],"{'a': 0.6576, 't': 0.2215, 'f': 1.0, 'd': 0.6431}",0.6566666666666667,0.05502322005640721
syn_000,SIS-C62,0,sistemas,Medium,"{'a': 0.6576, 't': 0.2215, 'f': 1.0, 'd': 0.6431}",70,0.6,31,0,text,['examples'],"{'a': 0.4603, 't': 0.305, 'f': 1.0, 'd': 0.5612}",0.7666666666666666,0.06081006262521795
syn_000,SYS-01,1,sistemas,Easy,"{'a': 0.4603, 't': 0.305, 'f': 1.0, 'd': 0.5612}",69,0.6,32,0,text,['examples'],"{'a': 0.6222, 't': 0.3665, 'f': 1.0, 'd': 0.6544}",0.5900000000000001,0.06720551273974976
syn_000,POT-P49,1,potencias,Medium,"{'a': 0.6222, 't': 0.3665, 'f': 1.0, 'd': 0.6544}",70,0.8,33,0,interactive,['examples'],"{'a': 0.7355, 't': 0.4065, 'f': 1.0, 'd': 0.7191}",0.7366666666666667,0.07427357821433388
syn_000,POL-03,1,polinomios,Easy,"{'a': 0.7355, 't': 0.4065, 'f': 1.0, 'd': 0.7191}",43,0.8,34,0,text,['examples'],"{'a': 0.8149, 't': 0.5155, 'f': 1.0, 'd': 0.7805}",0.5466666666666666,0.0820849986238988
syn_000,FUN-04,1,funciones,Medium,"{'a': 0.8149, 't': 0.5155, 'f': 1.0, 'd': 0.7805}",63,0.8,35,0,text,['examples'],"{'a': 0.8704, 't': 0.5318, 'f': 1.0, 'd': 0.8116}",0.62,0.09071795328941247
syn_000,EQL-06,1,ecuaciones,Medium,"{'a': 0.8704, 't': 0.5318, 'f': 1.0, 'd': 0.8116}",62,0.8,36,0,text,['examples'],"{'a': 0.9093, 't': 0.5463, 'f': 1.0, 'd': 0.8339}",0.6766666666666667,0.1002588437228037
syn_000,EQL-03,1,ecuaciones,Easy,"{'a': 0.9093, 't': 0.5463, 'f': 1.0, 'd': 0.8339}",31,1.0,37,0,interactive,['examples'],"{'a': 0.9365, 't': 0.6494, 'f': 1.0, 'd': 0.8681}",0.53,0.11080315836233387
syn_000,SIS-P67,1,sistemas,Medium,"{'a': 0.9365, 't': 0.6494, 'f': 1.0, 'd': 0.8681}",46,1.0,38,0,interactive,['examples'],"{'a': 0.9555, 't': 0.6766, 'f': 1.0, 'd': 0.8831}",0.6566666666666667,0.1224564282529819
syn_000,FRA-P83,1,fracciones,Medium,"{'a': 0.9555, 't': 0.6766, 'f': 1.0, 'd': 0.8831}",54,1.0,39,0,text,['examples'],"{'a': 0.9688, 't': 0.6716, 'f': 1.0, 'd': 0.8887}",0.6466666666666667,0.1353352832366127
syn_000,FAC-07,1,factorizacion,Hard,"{'a': 0.9688, 't': 0.6716, 'f': 1.0, 'd': 0.8887}",60,1.0,40,0,text,['examples'],"{'a': 0.9782, 't': 0.6501, 'f': 1.0, 'd': 0.8891}",0.7633333333333333,0.14956861922263504
syn_000,FUN-C54,1,funciones,Medium,"{'a': 0.9782, 't': 0.6501, 'f': 1.0, 'd': 0.8891}",39,1.0,41,0,text,['examples'],"{'a': 0.9847, 't': 0.6981, 'f': 1.0, 'd': 0.902}",0.7266666666666667,0.16529888822158653
syn_000,FRA-03,1,fracciones,Easy,"{'a': 0.9847, 't': 0.6981, 'f': 1.0, 'd': 0.902}",30,1.0,42,0,interactive,['examples'],"{'a': 0.9893, 't': 0.7587, 'f': 1.0, 'd': 0.9164}",0.5933333333333333,0.1826835240527346
syn_000,FRA-P40,1,fracciones,Medium,"{'a': 0.9893, 't': 0.7587, 'f': 1.0, 'd': 0.9164}",38,1.0,43,0,text,['examples'],"{'a': 0.9925, 't': 0.7771, 'f': 1.0, 'd': 0.9217}",0.7266666666666667,0.20189651799465538
syn_000,FUN-P56,1,funciones,Easy,"{'a': 0.9925, 't': 0.7771, 'f': 1.0, 'd': 0.9217}",29,1.0,44,0,interactive,['examples'],"{'a': 0.9948, 't': 0.817, 'f': 1.0, 'd': 0.9308}",0.5433333333333333,0.22313016014842982
syn_000,FAC-P34,1,factorizacion,Hard,"{'a': 0.9948, 't': 0.817, 'f': 1.0, 'd': 0.9308}",60,1.0,45,0,text,['examples'],"{'a': 0.9964, 't': 0.7519, 'f': 1.0, 'd': 0.9186}",0.7966666666666666,0.24659696394160643
syn_000,FRA-02,1,fracciones,Easy,"{'a': 0.9964, 't': 0.7519, 'f': 1.0, 'd': 0.9186}",25,1.0,46,0,interactive,['examples'],"{'a': 0.9975, 't': 0.8113, 'f': 1.0, 'd': 0.931}",0.5433333333333333,0.2725317930340126
syn_000,FAC-03,1,factorizacion,Medium,"{'a': 0.9975, 't': 0.8113, 'f': 1.0, 'd': 0.931}",46,1.0,47,0,text,['examples'],"{'a': 0.9983, 't': 0.7899, 'f': 1.0, 'd': 0.9271}",0.6966666666666667,0.301194211912202
syn_000,INE-04,1,inecuaciones,Medium,"{'a': 0.9983, 't': 0.7899, 'f': 1.0, 'd': 0.9271}",51,1.0,48,0,interactive,['examples'],"{'a': 0.9988, 't': 0.7599, 'f': 1.0, 'd': 0.9214}",0.7333333333333334,0.33287108369807955
syn_000,SIS-P22,1,sistemas,Medium,"{'a': 0.9988, 't': 0.7599, 'f': 1.0, 'd': 0.9214}",43,1.0,49,0,interactive,['examples'],"{'a': 0.9992, 't': 0.7629, 'f': 1.0, 'd': 0.9222}",0.72,0.36787944117144233
syn_000,POT-P83,1,potencias,Easy,"{'a': 0.9992, 't': 0.7629, 'f': 1.0, 'd': 0.9222}",32,1.0,50,0,interactive,['examples'],"{'a': 0.9994, 't': 0.798, 'f': 1.0, 'd': 0.9293}",0.5333333333333333,0.4065696597405991
syn_000,POL-P29,1,polinomios,Hard,"{'a': 0.9994, 't': 0.798, 'f': 1.0, 'd': 0.9293}",71,1.0,51,0,interactive,['examples'],"{'a': 0.9996, 't': 0.7056, 'f': 1.0, 'd': 0.9109}",0.8033333333333333,0.44932896411722156
syn_000,SYS-06,1,sistemas,Hard,"{'a': 0.9996, 't': 0.7056, 'f': 1.0, 'd': 0.9109}",60,1.0,52,0,interactive,['examples'],"{'a': 0.9997, 't': 0.6739, 'f': 1.0, 'd': 0.9046}",0.8666666666666667,0.49658530379140947
syn_000,FRA-06,0,fracciones,Hard,"{'a': 0.9997, 't': 0.6739, 'f': 1.0, 'd': 0.9046}",52,1.0,53,0,interactive,['examples'],"{'a': 0.6998, 't': 0.6757, 'f': 1.0, 'd': 0.755}",0.8733333333333333,0.5488116360940264
syn_000,POL-07,0,polinomios,Hard,"{'a': 0.6998, 't': 0.6757, 'f': 1.0, 'd': 0.755}",87,0.8,54,0,interactive,['examples'],"{'a': 0.4899, 't': 0.572, 'f': 1.0, 'd': 0.6293}",0.8866666666666667,0.6065306597126334
syn_000,FAC-P99,1,factorizacion,Medium,"{'a': 0.4899, 't': 0.572, 'f': 1.0, 'd': 0.6293}",78,0.6,55,0,interactive,['examples'],"{'a': 0.6429, 't': 0.5264, 'f': 1.0, 'd': 0.6967}",0.86,0.6703200460356393
syn_000,SIS-P59,1,sistemas,Medium,"{'a': 0.6429, 't': 0.5264, 'f': 1.0, 'd': 0.6967}",70,0.6,56,0,interactive,['examples'],"{'a': 0.75, 't': 0.5185, 'f': 1.0, 'd': 0.7487}",0.8433333333333333,0.7408182206817179
